sgd_id,systematic_name,id
S000005021,YNL077W,ID=cds4737
S000005020,YNL076W,ID=cds4738
S000002739,YDR331W,ID=cds1220
S000001408,YIL146C,ID=cds2664
S000001409,YIL147C,ID=cds2663
S000001404,YIL142W,ID=cds2668
S000002736,YDR328C,ID=cds1217
S000001405,YIL143C,ID=cds2667
S000002737,YDR329C,ID=cds1218
S000001406,YIL144W,ID=cds2666
S000002738,YDR330W,ID=cds1219
S000001407,YIL145C,ID=cds2665
S000002731,YDR323C,ID=cds1213
S000001400,YIL138C,ID=cds2671
S000002732,YDR324C,ID=cds1214
S000001401,YIL139C,ID=cds2670
S000002733,YDR325W,ID=cds1215
S000001402,YIL140W,ID=cds2669
S000002734,YDR326C,ID=cds1216
S000002740,YDR332W,ID=cds1221
S000002741,YDR333C,ID=cds1222
S000001410,YIL148W,ID=cds2662
S000002728,YDR320C,ID=cds1208
S000002729,YDR321W,ID=cds1210
S000002724,YDR316W,ID=cds1202
S000002725,YDR317W,ID=cds1205
S000002726,YDR318W,ID=cds1206
S000002727,YDR319C,ID=cds1207
S000002720,YDR312W,ID=cds1198
S000002721,YDR313C,ID=cds1199
S000002722,YDR314C,ID=cds1200
S000002723,YDR315C,ID=cds1201
S000002730,YDR322W,ID=cds1211
S000002757,YDR349C,ID=cds1236
S000001426,YIL164C,ID=cds2645
S000002758,YDR350C,ID=cds1237
S000001427,YIL165C,ID=cds2644
S000002759,YDR351W,ID=cds1238
S000001428,YIL166C,ID=cds2643
S000001429,YIL167W,ID=cds2642
S000002753,YDR345C,ID=cds1232
S000001422,YIL160C,ID=cds2649
S000002754,YDR346C,ID=cds1233
S000001423,YIL161W,ID=cds2648
S000002755,YDR347W,ID=cds1234
S000001424,YIL162W,ID=cds2647
S000002756,YDR348C,ID=cds1235
S000001425,YIL163C,ID=cds2646
S000002760,YDR352W,ID=cds1239
S000002761,YDR353W,ID=cds1240
S000002762,YDR354W,ID=cds1241
S000001431,YIL169C,ID=cds2641
S000000101,YBL005W,ID=cds197
S000000100,YBL004W,ID=cds200
S000001419,YIL157C,ID=cds2652
S000002746,YDR338C,ID=cds1227
S000001415,YIL153W,ID=cds2657
S000002747,YDR339C,ID=cds1228
S000001416,YIL154C,ID=cds2656
S000001417,YIL155C,ID=cds2655
S000002749,YDR341C,ID=cds1229
S000001418,YIL156W,ID=cds2654
S000002742,YDR334W,ID=cds1223
S000001411,YIL149C,ID=cds2661
S000002743,YDR335W,ID=cds1224
S000001412,YIL150C,ID=cds2660
S000002744,YDR336W,ID=cds1225
S000001413,YIL151C,ID=cds2659
S000002745,YDR337W,ID=cds1226
S000001414,YIL152W,ID=cds2658
S000002750,YDR342C,ID=cds1230
S000002751,YDR343C,ID=cds1231
S000001420,YIL158W,ID=cds2651
S000001421,YIL159W,ID=cds2650
S000000996,YHL004W,ID=cds2401
S000000995,YHL003C,ID=cds2402
S000000994,YHL002W,ID=cds2403
S000000993,YHL001W,ID=cds2404
S000000999,YHL007C,ID=cds2399
S000000998,YHL006C,ID=cds2400
S000000985,YER183C,ID=cds1691
S000000984,YER182W,ID=cds1690
S000000982,YER180C,ID=cds1688
S000000989,YER187W,ID=cds1695
S000000988,YER186C,ID=cds1694
S000000987,YER185W,ID=cds1693
S000000986,YER184C,ID=cds1692
S000000992,YER190W,ID=cds1698
S000000991,YER189W,ID=cds1697
S000006298,YPR094W,ID=cds5783
S000006299,YPR095C,ID=cds5784
S000006297,YPR093C,ID=cds5782
S000006295,YPR091C,ID=cds5781
S000006292,YPR088C,ID=cds5779
S000006293,YPR089W,ID=cds5780
S000006290,YPR086W,ID=cds5778
S000002717,YDR309C,ID=cds1195
S000002718,YDR310C,ID=cds1196
S000002719,YDR311W,ID=cds1197
S000002713,YDR305C,ID=cds1191
S000002714,YDR306C,ID=cds1192
S000002715,YDR307W,ID=cds1193
S000002716,YDR308C,ID=cds1194
S000002710,YDR302W,ID=cds1188
S000002711,YDR303C,ID=cds1189
S000002712,YDR304C,ID=cds1190
S000002706,YDR298C,ID=cds1184
S000002707,YDR299W,ID=cds1185
S000002708,YDR300C,ID=cds1186
S000002709,YDR301W,ID=cds1187
S000002702,YDR294C,ID=cds1180
S000002703,YDR295C,ID=cds1181
S000002704,YDR296W,ID=cds1182
S000002705,YDR297W,ID=cds1183
S000002700,YDR292C,ID=cds1178
S000002701,YDR293C,ID=cds1179
S000004518,YML054C,ID=cds4109
S000005849,YOR322C,ID=cds5359
S000004517,YML053C,ID=cds4111
S000005848,YOR321W,ID=cds5358
S000000159,YBL063W,ID=cds139
S000004519,YML055W,ID=cds4108
S000000157,YBL061C,ID=cds140
S000001488,YKL005C,ID=cds3416
S000004514,YML050W,ID=cds4114
S000001489,YKL006W,ID=cds3415
S000004513,YML049C,ID=cds4115
S000005844,YOR317W,ID=cds5355
S000004516,YML052W,ID=cds4112
S000005847,YOR320C,ID=cds5357
S000004515,YML051W,ID=cds4113
S000005846,YOR319W,ID=cds5356
S000001495,YKL012W,ID=cds3408
S000004521,YML057W,ID=cds4106
S000000163,YBL067C,ID=cds136
S000001496,YKL013C,ID=cds3407
S000004520,YML056C,ID=cds4107
S000005851,YOR324C,ID=cds5361
S000000162,YBL066C,ID=cds137
S000001497,YKL014C,ID=cds3406
S000004523,YML058W,ID=cds4105
S000005854,YOR327C,ID=cds5363
S000001498,YKL015W,ID=cds3405
S000005853,YOR326W,ID=cds5362
S000000160,YBL064C,ID=cds138
S000001491,YKL008C,ID=cds3412
S000001492,YKL009W,ID=cds3411
S000001493,YKL010C,ID=cds3410
S000005850,YOR323C,ID=cds5360
S000000165,YBL069W,ID=cds134
S000001494,YKL011C,ID=cds3409
S000000164,YBL068W,ID=cds135
S000001490,YKL007W,ID=cds3413
S000004507,YML043C,ID=cds4121
S000005838,YOR311C,ID=cds5349
S000004506,YML042W,ID=cds4122
S000005837,YOR310C,ID=cds5348
S000000148,YBL052C,ID=cds149
S000004509,YML046W,ID=cds4118
S000000147,YBL051C,ID=cds150
S000004508,YML045W,ID=cds4119
S000005839,YOR312C,ID=cds5350
S000000146,YBL050W,ID=cds151
S000004503,YML039W,ID=cds4124
S000005834,YOR307C,ID=cds5346
S000001477,YIR038C,ID=cds2845
S000004502,YML038C,ID=cds4126
S000005833,YOR306C,ID=cds5345
S000001478,YIR039C,ID=cds2846
S000004505,YML041C,ID=cds4123
S000004504,YML040W,ID=cds4125
S000005835,YOR308C,ID=cds5347
S000001484,YKL001C,ID=cds3420
S000004510,YML047C,ID=cds4117
S000000152,YBL056W,ID=cds146
S000001485,YKL002W,ID=cds3419
S000005840,YOR313C,ID=cds5351
S000000151,YBL055C,ID=cds147
S000001486,YKL003C,ID=cds3418
S000005843,YOR316C,ID=cds5353
S000000150,YBL054W,ID=cds148
S000001487,YKL004W,ID=cds3417
S000004511,YML048W,ID=cds4116
S000005842,YOR315W,ID=cds5352
S000000156,YBL060W,ID=cds141
S000001480,YIR041W,ID=cds2847
S000000155,YBL059W,ID=cds143
S000001481,YIR042C,ID=cds2848
S000000154,YBL058W,ID=cds144
S000001482,YIR043C,ID=cds2849
S000000153,YBL057C,ID=cds145
S000004539,YML074C,ID=cds4088
S000003209,YGL240W,ID=cds1849
S000004536,YML071C,ID=cds4091
S000005867,YOR340C,ID=cds5374
S000003204,YGL235W,ID=cds1853
S000004535,YML070W,ID=cds4092
S000005866,YOR339C,ID=cds5373
S000003205,YGL236C,ID=cds1852
S000004538,YML073C,ID=cds4089
S000005869,YOR342C,ID=cds5376
S000003206,YGL237C,ID=cds1851
S000004537,YML072C,ID=cds4090
S000005868,YOR341W,ID=cds5375
S000003207,YGL238W,ID=cds1850
S000004543,YML078W,ID=cds4084
S000005874,YOR347C,ID=cds5381
S000000185,YBL089W,ID=cds117
S000003211,YGL242C,ID=cds1847
S000004542,YML077W,ID=cds4085
S000005873,YOR346W,ID=cds5380
S000000184,YBL088C,ID=cds118
S000003212,YGL243W,ID=cds1846
S000004545,YML080W,ID=cds4082
S000005876,YOR349W,ID=cds5383
S000000183,YBL087C,ID=cds119
S000003213,YGL244W,ID=cds1845
S000004544,YML079W,ID=cds4083
S000005875,YOR348C,ID=cds5382
S000000182,YBL086C,ID=cds120
S000003214,YGL245W,ID=cds1844
S000000189,YBL093C,ID=cds112
S000000188,YBL092W,ID=cds113
S000004541,YML076C,ID=cds4086
S000000187,YBL091C,ID=cds115
S000004540,YML075C,ID=cds4087
S000005871,YOR344C,ID=cds5379
S000000186,YBL090W,ID=cds116
S000003210,YGL241W,ID=cds1848
S000000181,YBL085W,ID=cds121
S000000180,YBL084C,ID=cds122
S000004529,YML064C,ID=cds4098
S000004528,YML063W,ID=cds4099
S000005859,YOR332W,ID=cds5367
S000000168,YBL072C,ID=cds131
S000001499,YKL016C,ID=cds3404
S000004525,YML060W,ID=cds4102
S000005856,YOR329C,ID=cds5365
S000004524,YML059C,ID=cds4103
S000005855,YOR328W,ID=cds5364
S000004527,YML062C,ID=cds4100
S000004526,YML061C,ID=cds4101
S000005857,YOR330C,ID=cds5366
S000004532,YML067C,ID=cds4095
S000005863,YOR336W,ID=cds5370
S000000174,YBL078C,ID=cds127
S000003200,YGL231C,ID=cds1857
S000004531,YML066C,ID=cds4096
S000005862,YOR335C,ID=cds5369
S000003201,YGL232W,ID=cds1856
S000004534,YML069W,ID=cds4093
S000005865,YOR338W,ID=cds5372
S000000172,YBL076C,ID=cds128
S000003202,YGL233W,ID=cds1855
S000004533,YML068W,ID=cds4094
S000005864,YOR337W,ID=cds5371
S000000171,YBL075C,ID=cds129
S000003203,YGL234W,ID=cds1854
S000000178,YBL082C,ID=cds123
S000000177,YBL081W,ID=cds124
S000004530,YML065W,ID=cds4097
S000005861,YOR334W,ID=cds5368
S000000176,YBL080C,ID=cds125
S000000175,YBL079W,ID=cds126
S000000170,YBL074C,ID=cds130
S000005809,YOR283W,ID=cds5320
S000005805,YOR279C,ID=cds5317
S000000116,YBL020W,ID=cds182
S000002779,YDR371W,ID=cds1259
S000001448,YIR009W,ID=cds2814
S000005804,YOR278W,ID=cds5316
S000000115,YBL019W,ID=cds183
S000001449,YIR010W,ID=cds2815
S000005807,YOR281C,ID=cds5319
S000000114,YBL018C,ID=cds184
S000005806,YOR280C,ID=cds5318
S000000113,YBL017C,ID=cds185
S000005801,YOR275C,ID=cds5314
S000002775,YDR367W,ID=cds1255
S000001444,YIR005W,ID=cds2810
S000005800,YOR274W,ID=cds5313
S000000119,YBL023C,ID=cds179
S000002776,YDR368W,ID=cds1256
S000001445,YIR006C,ID=cds2811
S000000118,YBL022C,ID=cds180
S000002777,YDR369C,ID=cds1257
S000001446,YIR007W,ID=cds2812
S000005802,YOR276W,ID=cds5315
S000000117,YBL021C,ID=cds181
S000002778,YDR370C,ID=cds1258
S000001447,YIR008C,ID=cds2813
S000002782,YDR374C,ID=cds1262
S000001451,YIR012W,ID=cds2817
S000002783,YDR375C,ID=cds1264
S000001452,YIR013C,ID=cds2818
S000005810,YOR284W,ID=cds5321
S000002784,YDR376W,ID=cds1265
S000001453,YIR014W,ID=cds2819
S000002785,YDR377W,ID=cds1266
S000001454,YIR015W,ID=cds2820
S000000123,YBL027W,ID=cds175
S000000122,YBL026W,ID=cds176
S000000121,YBL025W,ID=cds177
S000002780,YDR372C,ID=cds1260
S000000120,YBL024W,ID=cds178
S000002781,YDR373W,ID=cds1261
S000001450,YIR011C,ID=cds2816
S000000105,YBL009W,ID=cds192
S000000104,YBL008W,ID=cds194
S000002769,YDR361C,ID=cds1246
S000001438,YIL176C,ID=cds2638
S000000103,YBL007C,ID=cds195
S000001439,YIL177C,ID=cds2637
S000000102,YBL006C,ID=cds196
S000000109,YBL013W,ID=cds189
S000002764,YDR356W,ID=cds1242
S000002765,YDR357C,ID=cds1243
S000001434,YIL172C,ID=cds2640
S000000107,YBL011W,ID=cds190
S000002766,YDR358W,ID=cds1244
S000001435,YIL173W,ID=cds2639
S000000106,YBL010C,ID=cds191
